þessu	faheþ	þessi
4493	ta	4493
.	.	.
Renault	e	Renault
Nevada	e	Nevada
4x4	ta	4x4
st.	as	st.
'	'	'
91	ta	91
.	.	.
Blásans	nxen-s	Blásans
,	,	,
nýsk.	as	nýsk.
'	'	'
05	ta	05
.	.	.
Verð	nhen	verð
110.000	ta	110.000
.	.	.
S.	as	s.
864	ta	864
1243	ta	1243
.	.	.
Bronco	e	Bronco
II	ta	II
árgerð	nven	árgerð
'	'	'
88	ta	88
.	.	.
Bilaðar	lvfnsf	bilaður
bremsur	nvfn	bremsa
.	.	.
50	ta	50
þ.	as	þ.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
699	ta	699
8109	ta	8109
.	.	.
Bíll	nken	bíll
til	ae	til
sölu	nvee	sala
.	.	.
Hyundai	e	Hyundai
Accent	e	Accent
'	'	'
98	ta	98
keyrður	lkensf	keyrður
170.000	ta	170.000
.	.	.
Sjálfskiptur	lkensf	sjálfskiptur
.	.	.
Boddí	nhen	boddí
örlítið	aa	örlítið
laskað	lhensf	laskaður
.	.	.
Verð	nhen	verð
kr.	as	kr.
200.000	ta	200.000
.	.	.
Sími	nken	sími
865	ta	865
7694	ta	7694
.	.	.
Mazda	e	Mazda
323	ta	323
GLX	e	GLX
'	'	'
90	ta	90
.	.	.
Ekinn	lkensf	ekinn
177	ta	177
þús.	as	þús.
Ssk.	as	Ssk.
með	ao	með
'	'	'
05	ta	05
skoðun	nveo	skoðun
.	.	.
Vetrardekk	nhfn	vetrardekk
á	aþ	á
felgum	nvfþ	felga
fylgja	sfg3fn	fylgja
.	.	.
Dráttarkúla	nven	dráttarkúla
.	.	.
Verð	nhen	verð
100	ta	100
þús.	as	þús.
Sími	nken	sími
551	ta	551
8437	ta	8437
.	.	.
Fallegur	lkensf	fallegur
Galant	e	Galant
'	'	'
89	ta	89
.	.	.
nýsk.	as	nýsk.
m	as	m
/	/	/
bilaða	lveosf	bilaður
sjálfsk.	as	sjálfsk.
V.	as	V.
40	ta	40
þ.	as	þ.
Óska	sfg1en	óska
einnig	aa	einnig
eftir	aþ	eftir
gúmmíbát	nkeþ	gúmmíbátur
,	,	,
4-6	ta	4-6
manna	nkfe	maður
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
661	ta	661
4509	ta	4509
og	c	og
483	ta	483
4614	ta	4614
.	.	.
MMC	as	MMC
Galant	e	Galant
'	'	'
91	ta	91
4x4	ta	4x4
.	.	.
Ford	e	Ford
Mustang	e	Mustang
'	'	'
98	ta	98
.	.	.
Varahlutir	nkfn	varahlutur
í	ao	í
MMC	as	MMC
Galant	e	Galant
'	'	'
88	ta	88
-	-	-
'	'	'
92	ta	92
og	c	og
Honda	e	Honda
Accord	e	Accord
'	'	'
90	ta	90
-	-	-
'	'	'
94	ta	94
.	.	.
S.	as	s.
868	ta	868
3069	ta	3069
.	.	.
MMC	as	MMC
Colt	e	Colt
árg.	as	árg.
'	'	'
93	ta	93
,	,	,
3ja	ta	3ja
dyra	nvfe	dyr
,	,	,
sk.	as	sk.
'	'	'
05	ta	05
,	,	,
ek.	as	ek.
195	ta	195
þús.	as	þús.
Verð	nhen	verð
75	ta	75
þús.	as	þús.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
862	ta	862
7641	ta	7641
.	.	.
Daihatsu	e	Daihatsu
Rocky	e	Rocky
'	'	'
85	ta	85
.	.	.
Tilboð	nhfn	tilboð
óskast	sfm3fn	óska
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
893	ta	893
0173	ta	0173
.	.	.
Opel	e	Opel
Astra	e	Astra
station	e	station
1400	ta	1400
árg.	as	árg.
'	'	'
95	ta	95
.	.	.
Farin	lvensf	farinn
tímareim	nven	tímareim
,	,	,
annars	aa	annars
í	aþ	í
góðu	lheþsf	góður
standi	nheþ	stand
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
846	ta	846
3596	ta	3596
,	,	,
Víðir	nken-s	Víðir
eða	c	eða
Alva	nven-s	Alva
.	.	.
Útsala	nven	útsala
á	aþ	á
tveimur	tfkfþ	tveir
góðum	lkfþsf	góður
bílum	nkfþ	bíll
.	.	.
VW	as	VW
Jetta	e	Jetta
'	'	'
91	ta	91
,	,	,
ek.	as	ek.
135	ta	135
þ.	as	þ.
,	,	,
sk.	as	sk.
'	'	'
05	ta	05
,	,	,
vetrard.	as	vetrard.
fylgja	sfg3fn	fylgja
,	,	,
.	.	.
Mazda	e	Mazda
323	ta	323
'	'	'
87	ta	87
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
690	ta	690
8304	ta	8304
.	.	.
Nissan	e	Nissan
Sunny	e	Sunny
árg.	as	árg.
'	'	'
91	ta	91
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
892	ta	892
5849	ta	5849
.	.	.
80	ta	80
þús.	as	þús.
stgr	as	stgr
.	.	.
Nissan	e	Nissan
Sunny	e	Sunny
SLX	e	SLX
1600	ta	1600
.	.	.
Ssk.	as	Ssk.
ek.	as	ek.
192	ta	192
þús.	as	þús.
Góður	lkensf	góður
bíll	nken	bíll
,	,	,
þarfnast	sfm3en	þarfnast
lagf.	as	lagf.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
867	ta	867
2430	ta	2430
.	.	.
Toyota	e	Toyota
Corolla	e	Corolla
'	'	'
91	ta	91
ekinn	lkensf	ekinn
200	ta	200
þ.	as	þ.
Einnig	aa	einnig
til	ae	til
sölu	nvee	sala
Toyota	e	Toyota
Corolla	e	Corolla
'	'	'
89	ta	89
ekinn	lkensf	ekinn
250	ta	250
þ.	as	þ.
Sími	nken	sími
694	ta	694
7168	ta	7168
.	.	.
Chevrolet	e	Chevrolet
Monza	e	Monza
árg.	as	árg.
'	'	'
88	ta	88
,	,	,
ek.	as	ek.
aðeins	aa	aðeins
18	ta	18
þús.	as	þús.
Ný	lhfnsf	nýr
sumar-	as	sumard.
&	c	&
vetrard.	as	vetrard.
S.	as	s.
867	ta	867
4410	ta	4410
.	.	.
Tilboð	nhfn	tilboð
.	.	.
Skoda	e	Skoda
Felicia	e	Felicia
'	'	'
95	ta	95
,	,	,
ekinn	lkensf	ekinn
108	ta	108
þús.	as	þús.
,	,	,
er	sfg3en	vera
í	aþ	í
mjög	aa	mjög
góðu	lheþsf	góður
standi	nheþ	stand
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
899	ta	899
8534	ta	8534
.	.	.
Til	ae	til
sölu	nvee	sala
Toyota	e	Toyota
Corolla	e	Corolla
árg.	as	árg.
'	'	'
92	ta	92
,	,	,
ek.	as	ek.
200	ta	200
þús.	as	þús.
í	aþ	í
góðu	lheþsf	góður
standi	nheþ	stand
,	,	,
verð	nhen	verð
80	ta	80
þús.	as	þús.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
866	ta	866
7347	ta	7347
.	.	.
Til	ae	til
sölu	nvee	sala
Mazda	e	Mazda
626	ta	626
árgerð	nven	árgerð
'	'	'
92	ta	92
,	,	,
ekinn	lkensf	ekinn
92	to	92
þúsund	tfvfo	þúsund
mílur	nvfo	míla
,	,	,
sjálfkiptur	lkensf	sjálfkiptur
,	,	,
skoðaður	lkensf	skoðaður
'	'	'
05	ta	05
.	.	.
Verð	nhen	verð
150	ta	150
þúsund	ta	þúsund
.	.	.
Einnig	aa	einnig
á	aþ	á
sama	fbkeþ	sami
stað	nkeþ	staður
til	ae	til
sölu	nvee	sala
slöngubátur	nken	slöngubátur
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
864	ta	864
7730	ta	7730
.	.	.
Daihatsu	e	Daihatsu
Feroza	e	Feroza
árg.	as	árg.
'	'	'
92	ta	92
,	,	,
ek.	as	ek.
130	ta	130
þús.	as	þús.
Vetrardekk	nhfn	vetrardekk
fylgja	sfg3fn	fylgja
með	aa	með
,	,	,
verð	nhen	verð
250	ta	250
þús.	as	þús.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
898	ta	898
9008	ta	9008
.	.	.
Til	ae	til
sölu	nvee	sala
Honda	e	Honda
Accord	e	Accord
árgerð	nven	árgerð
'	'	'
88	ta	88
,	,	,
góður	lkensf	góður
bíll	nken	bíll
,	,	,
er	sfg3en	vera
með	ao	með
endurskoðun	nveo	endurskoðun
,	,	,
þafnast	sfm3fn	þafna
smá	lveeof	smá
lagfæringar	nvee	lagfæring
.	.	.
Staðgreitt	sþghen	staðgreiða
70	ta	70
þúsund	ta	þúsund
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
849	ta	849
1122	ta	1122
.	.	.
Mazda	e	Mazda
323	ta	323
árg.	as	árg.
'	'	'
93	ta	93
,	,	,
klesstur	lkensf	klesstur
að	aa	að
framan	aa	framan
,	,	,
varahlutir	nkfn	varahlutur
geta	sfg3fn	geta
fylgt	ssg	fylgja
með	aa	með
ef	c	ef
óskað	sþghen	óska
er	sfg3en	vera
eftir	aa	eftir
.	.	.
Skoða	sfg1en	skoða
öll	fohfo	allur
skipti	nhfo	skipti
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
868	ta	868
3596	ta	3596
.	.	.
Galant	e	Galant
árgerð	nven	árgerð
'	'	'
89	ta	89
.	.	.
Ekinn	lkensf	ekinn
180.000	ta	180.000
.	.	.
Skoðaður	lkensf	skoðaður
'	'	'
05	ta	05
.	.	.
Mikið	aa	mikið
endurnýjaður	lkensf	endurnýjaður
.	.	.
Topplúga	nven	topplúga
,	,	,
geislaspilari	nken	geislaspilari
.	.	.
S.	as	s.
848	ta	848
4320	ta	4320
.	.	.
Renault	e	Renault
Clio	e	Clio
'	'	'
95	ta	95
.	.	.
Lítið	aa	lítið
ekinn	lkensf	ekinn
;	;	;
92.000	ta	92.000
km	as	km
.	.	.
Verð	nhen	verð
260.000	ta	260.000
kr.	as	kr.
Gott	lhensf	góður
eintak	nhen	eintak
.	.	.
Finna	nven-s	Finna
,	,	,
847	ta	847
5947	ta	5947
.	.	.
Til	ae	til
sölu	nvee	sala
Mitsubishi	e	Mitsubishi
Galant	e	Galant
'	'	'
93	ta	93
.	.	.
Verð	nhen	verð
390	ta	390
þús.	as	þús.
(	(	(
Visa	nxen-s	Visa
/	/	/
euro	e	euro
)	)	)
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
822	ta	822
0311	ta	0311
.	.	.
Mjög	aa	mjög
gott	lhensf	góður
sumartilboð	nhen	sumartilboð
á	aþ	á
VW	as	VW
Polo	e	Polo
'	'	'
96	ta	96
.	.	.
Listaverð	nhen	listaverð
430	ta	430
Þ.	as	Þ.
Tilboð	nhen	tilboð
270	ta	270
Þ.	as	Þ.
S.	as	s.
867	ta	867
8230	ta	8230
Hyundai	e	Hyundai
Accent	e	Accent
nýskr.	as	nýskr.
11/98	ta	11/98
.	.	.
ek.	as	ek.
59	ta	59
þ.	as	þ.
1500	ta	1500
vél	nven	vél
,	,	,
álf.	as	álf.
,	,	,
rafm.	as	rafm.
í	aþ	í
rúð	x	rýja
.	.	.
Vetrard.	as	Vetrard.
fylgja	sfg3fn	fylgja
.	.	.
Engin	foven	enginn
útb.	as	útb.
,	,	,
aðeins	aa	aðeins
yfirtaka	nven	yfirtaka
á	aþ	á
láni	nheþ	lán
sem	ct	sem
er	sfg3en	vera
ca	as	ca
390	ta	390
þ.	as	þ.
Einn	tfken	einn
eig.	as	eig.
,	,	,
lítur	sfg3en	líta
vel	aa	vel
út	aa	út
.	.	.
S.	as	s.
896	ta	896
6099	ta	6099
&	c	&
567	ta	567
6998	ta	6998
.	.	.
Opel	e	Opel
Astra	e	Astra
1.6	ta	1.6
station	e	station
,	,	,
ek.	as	ek.
91	ta	91
þ.	as	þ.
,	,	,
m.	as	m.
nýja	lveosf	nýr
tímareim	nveo	tímareim
og	c	og
vatnsdælu	nveo	vatnsdæla
.	.	.
Verð	nhen	verð
370	ta	370
þ.	as	þ.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
461	ta	461
2329	ta	2329
&	c	&
692	ta	692
1929	ta	1929
.	.	.
BMW	as	BMW
525i	ta	525i
árg.	as	árg.
'	'	'
89	ta	89
,	,	,
sk.	as	sk.
'	'	'
05	ta	05
,	,	,
álfelgur	nvfn	álfelga
,	,	,
CD	as	CD
,	,	,
spoilerar	nkfn	spoiler
,	,	,
tölvukubbur	nken	tölvukubbur
,	,	,
lækkaður	lkensf	lækkaður
.	.	.
Sjón	nven	sjón
er	sfg3en	vera
sögu	nveþ	saga
ríkari	lvenvm	ríkur
.	.	.
Er	sfg3en	vera
til	ae	til
