seldur	sþgken	selja
landi	nheþ	land
hafa	sfg3fn	hafa
björgunarsveitir	nvfn	björgunarsveit
meðal	ae	meðal
annarra	fokfe	annar
sinnt	ssg	sinna
þessu	faheþ	þessi
hlutverki	nheþ	hlutverk
.	.	.
Hér	aa	hér
er	sfg3en	vera
lagt	sþghen	leggja
til	ae	til
að	c	að
notað	sþghen	nota
verði	svg3en	verða
orðið	nheng	orð
«	«	«
gæsla	nven	gæsla
»	»	»
yfir	ao	yfir
það	faheo	sá
hlutverk	nheo	hlutverk
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
almenna	lveosf	almennur
óviðkomandi	lveoof	óviðkomandi
umferð	nveo	umferð
manna	nkfe	maður
,	,	,
dýra	nhfe	dýr
og	c	og
farartækja	nhfe	farartæki
á	aþ	á
svæðum	nhfþ	svæði
sem	ct	sem
lýst	sþghfn	lýsa
hafa	sfg3fn	hafa
verið	ssg	vera
hættusvæði	nhfn	hættusvæði
af	aþ	af
stjórnvöldum	nhfþ	stjórnvald
vegna	ae	vegna
stórslysa	nhfe	stórslys
eða	c	eða
náttúruhamfara	nvfe	náttúruhamfarir
.	.	.
Með	aþ	með
gæslu	nveþ	gæsla
í	aþ	í
lögum	nhfþ	lag
þessum	fahfþ	þessi
er	sfg3en	vera
ekki	aa	ekki
átt	sþghen	eiga
við	ao	við
öryggisgæslu	nveo	öryggisgæsla
,	,	,
svo	aa	svo
sem	c	sem
við	ao	við
heimsóknir	nvfo	heimsókn
erlendra	lkfesf	erlendur
þjóðhöfðingja	nkfe	þjóðhöfðingi
.	.	.
Hér	aa	hér
er	sfg3en	vera
gert	sþghen	gera
ráð	nhen	ráð
fyrir	aþ	fyrir
því	fpheþ	það
að	c	að
almannahagsmunir	nkfn	almannahagsmunir
séu	svg3fn	vera
í	aþ	í
hættu	nveþ	hætta
og	c	og
að	c	að
gæsla	nven	gæsla
standi	svg3en	standa
ekki	aa	ekki
yfir	aa	yfir
í	ao	í
lengri	lkeovm	langur
tíma	nkeo	tími
.	.	.
Telja	sng	telja
verður	sfg3en	verða
of	aa	of
íþyngjandi	lheoof	íþyngjandi
fyrir	ao	fyrir
björgunarsveitir	nvfo	björgunarsveit
og	c	og
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
að	cn	að
sinna	sng	sinna
gæslu	nveþ	gæsla
svo	aa	svo
dögum	nkfþ	dagur
skiptir	sfg3en	skipta
þar	aa	þar
sem	c	sem
björgunarsveitarmenn	nkfn	björgunarsveitarmaður
eru	sfg3fn	vera
sjálfboðaliðar	nkfn	sjálfboðaliði
og	c	og
þiggja	sfg3fn	þiggja
ekki	aa	ekki
laun	nhfo	laun
fyrir	ao	fyrir
störf	nhfo	starf
sín	fehfo	sinn
.	.	.
Þegar	c	þegar
gæsla	nven	gæsla
er	sfg3en	vera
nauðsynleg	lvensf	nauðsynlegur
til	ae	til
lengri	lkeevm	langur
tíma	nkee	tími
er	sfg3en	vera
rétt	lhensf	réttur
að	cn	að
gera	sng	gera
sérstakt	lheosf	sérstakur
samkomulag	nheo	samkomulag
um	ao	um
þátttöku	nveo	þátttaka
björgunarsveita	nvfe	björgunarsveit
.	.	.
Þá	aa	þá
mundi	svg3eþ	munu
ákvæði	nhen	ákvæði
þetta	fahen	þessi
ekki	aa	ekki
ná	sng	ná
til	ae	til
einkaréttarlegra	lkfesf	einkaréttarlegur
hagsmunam	x	hagsmunur
,	,	,
svo	aa	svo
sem	c	sem
smölunar	nvee	smölun
búfjár	nhee	búfé
af	aþ	af
afrétti	nkeþ	afréttur
vegna	ae	vegna
yfirvofandi	lheeof	yfirvofandi
ofsaveðurs	nhee	ofsaveður
.	.	.
Um	ao	um
3.	ta	3.
gr.	as	gr.
Í	aþ	í
1.	ta	1.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
hlutverk	nheo	hlutverk
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
sem	ct	sem
starfa	sfg3fn	starfa
í	aþ	í
þágu	nveþ	þága
almannaheilla	nvfe	almannaheill
með	aþ	með
þátttöku	nveþ	þátttaka
við	ao	við
björgun	nveo	björgun
,	,	,
leit	nveo	leit
og	c	og
gæslu	nveo	gæsla
á	ao	á
ábyrgð	nveo	ábyrgð
og	c	og
í	aþ	í
samvinnu	nveþ	samvinna
við	ao	við
stjórnvöld	nhfo	stjórnvald
.	.	.
Ljóst	lhensf	ljós
er	sfg3en	vera
að	c	að
björgunarsveitir	nvfn	björgunarsveit
sem	ct	sem
skipulagðar	sþgvfn	skipuleggja
eru	sfg3fn	vera
og	c	og
kostaðar	sþgvfn	kosta
af	aþ	af
frjálsum	lhfþsf	frjáls
félagasamtökum	nhfþ	félagasamtök
gegna	sfg3fn	gegna
oft	aa	oft
lykilhlutverki	nheþ	lykilhlutverk
við	ao	við
leitir	nvfo	leit
og	c	og
björgunaraðgerðir	nvfo	björgunaraðgerð
.	.	.
Hlutverk	nhen	hlutverk
stjórnvalda	nhfe	stjórnvald
er	sfg3en	vera
að	cn	að
hafa	sng	hafa
yfirstjórn	nveo	yfirstjórn
með	aþ	með
aðgerðum	nvfþ	aðgerð
en	c	en
ekki	aa	ekki
að	cn	að
hafa	sng	hafa
afskipti	nhfo	afskipti
af	aþ	af
innra	lheþvm	innri
skipulagi	nheþ	skipulag
björgunarsveita	nvfe	björgunarsveit
.	.	.
Í	aþ	í
því	fpheþ	það
að	c	að
viðkomandi	lhenof	viðkomandi
stjórnvald	nhen	stjórnvald
fer	sfg3en	fara
með	ao	með
yfirstjórn	nveo	yfirstjórn
aðgerða	nvfe	aðgerð
felst	sfm3en	fela
að	c	að
björgunarsveitir	nvfn	björgunarsveit
og	c	og
björgunarsveitarmenn	nkfn	björgunarsveitarmaður
starfa	sfg3fn	starfa
jafnframt	aa	jafnframt
á	ao	á
ábyrgð	nveo	ábyrgð
stjórnvalda	nhfe	stjórnvald
.	.	.
Ekki	aa	ekki
er	sfg3en	vera
gert	sþghen	gera
ráð	nhen	ráð
fyrir	aþ	fyrir
því	fpheþ	það
í	aþ	í
2.	ta	2.
mgr.	as	mgr.
að	cn	að
gera	sng	gera
þurfi	svg3en	þurfa
samkomulag	nheo	samkomulag
milli	ae	milli
allra	fohfe	allur
stjórnvalda	nhfe	stjórnvald
og	c	og
björgunarsveita	nvfe	björgunarsveit
sem	ct	sem
starfa	sfg3fn	starfa
að	aþ	að
björgunarmálum	nhfþ	björgunarmál
heldur	c	heldur
einungis	aa	einungis
milli	ae	milli
heildarsamtaka	nhfe	heildarsamtök
björgunarsveita	nvfe	björgunarsveit
og	c	og
æðri	lhfevm	æðri
stjórnvalda	nhfe	stjórnvald
.	.	.
Þannig	aa	þannig
hefur	sfg3en	hafa
þegar	aa	þegar
verið	ssg	vera
gengið	sþghen	ganga
frá	aþ	frá
samkomulagi	nheþ	samkomulag
milli	ae	milli
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
og	c	og
almannavarnaráðs	nhee	almannavarnaráð
auk	ae	auk
þess	fphee	það
sem	c	sem
ríkislögreglustjóri	nken	ríkislögreglustjóri
og	c	og
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
hafa	sfg3fn	hafa
þegar	c	þegar
hafið	ssg	hefja
vinnu	nveo	vinna
við	ao	við
reglur	nvfo	regla
um	ao	um
samskipti	nhfo	samskipti
lögreglu	nvee	lögregla
og	c	og
björgunarsveita	nvfe	björgunarsveit
.	.	.
Ekkert	fohen	enginn
ætti	svg3eþ	eiga
þó	aa	þó
að	cn	að
vera	sng	vera
því	fpheþ	það
til	ae	til
fyrirstöðu	nvee	fyrirstaða
að	c	að
sérstakt	lhensf	sérstakur
samkomulag	nhen	samkomulag
verði	svg3en	verða
gert	sþghen	gera
við	ao	við
staðbundin	lhfosf	staðbundinn
stjórnvöld	nhfo	stjórnvald
,	,	,
t.d.	as	t.d.
vegna	ae	vegna
sérstakra	lkfesf	sérstakur
staðhátta	nkfe	staðhættir
eða	c	eða
aðstæðna	nvfe	aðstæður
er	ct	er
snúa	sfg3fn	snúa
að	aþ	að
mannafla	nkeþ	mannafli
og	c	og
búnaði	nkeþ	búnaður
.	.	.
Í	aþ	í
132.	ta	132.
gr.	as	gr.
laga	nhfe	lag
um	ao	um
loftferðir	nvfo	loftferð
,	,	,
nr.	as	nr.
60/1998	ta	60/1998
,	,	,
segir	sfg3en	segja
að	c	að
samgöngumálaráðherra	nkeþ	samgöngumálaráðherra
sé	svg3en	vera
heimilt	lhensf	heimill
að	cn	að
setja	sng	setja
reglur	nvfo	regla
um	ao	um
leit	nveo	leit
og	c	og
björgun	nveo	björgun
er	ct	er
viðhafa	sng	viðhafa
skal	sfg3en	skulu
þegar	c	þegar
loftfars	nhee	loftfar
er	sfg3en	vera
saknað	sþghen	sakna
eða	c	eða
því	fpheþ	það
hefur	sfg3en	hafa
hlekkst	ssm	hlekkjast
á	aa	á
eða	c	eða
það	fphen	það
hefur	sfg3en	hafa
farist	ssm	fara
,	,	,
þar	aa	þar
á	aa	á
meðal	aa	meðal
um	ao	um
aðstoð	nveo	aðstoð
þá	faveo	sá
sem	ct	sem
einstaklingum	nkfþ	einstaklingur
og	c	og
fyrirtækjum	nhfþ	fyrirtæki
er	sfg3en	vera
skylt	lhensf	skyldur
að	cn	að
veita	sng	veita
við	ao	við
leit	nveo	leit
og	c	og
björgunarstörf	nhfo	björgunarstarf
og	c	og
um	ao	um
þóknun	nveo	þóknun
fyrir	ao	fyrir
slíka	fbveo	slíkur
aðstoð	nveo	aðstoð
.	.	.
Þá	aa	þá
segir	sfg3en	segja
í	aþ	í
3.	ta	3.
mgr.	as	mgr.
6.	ta	6.
gr.	as	gr.
lögreglulaga	nhfe	lögreglulög
,	,	,
nr.	as	nr.
90/1996	ta	90/1996
,	,	,
að	c	að
dómsmálaráðherra	nken	dómsmálaráðherra
setji	svg3en	setja
reglur	nvfo	regla
um	ao	um
samstarf	nheo	samstarf
lögreglu	nvee	lögregla
og	c	og
björgunarsveita	nvfe	björgunarsveit
.	.	.
Markmið	nhen	markmið
slíks	fbhee	slíkur
samkomulags	nhee	samkomulag
yrði	svg3eþ	verða
að	cn	að
skýra	sng	skýra
hlutverk	nheo	hlutverk
og	c	og
reglur	nvfo	regla
sem	ct	sem
gilda	sfg3fn	gilda
um	ao	um
útköll	nhfo	útkall
á	ao	á
þá	faveo	sá
leið	nveo	leið
að	cn	að
ákvarða	sng	ákvarða
hvaða	fskfn	hvaða
aðilar	nkfn	aðili
innan	ae	innan
stjórnsýslunnar	nveeg	stjórnsýsla
eru	sfg3fn	vera
bærir	lkfnsf	bær
til	ae	til
þess	fphee	það
að	cn	að
kalla	sng	kalla
út	aa	út
björgunarsveitir	nvfo	björgunarsveit
,	,	,
um	ao	um
samhæfingu	nveo	samhæfing
og	c	og
fjölda	nkeo	fjöldi
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
og	c	og
tækja	nhfe	tæki
sem	ct	sem
kalla	sng	kalla
þarf	sfg3en	þurfa
út	aa	út
hverju	foheþ	hver
sinni	nheþ	sinn
,	,	,
samkipti	x	samskipti
og	c	og
boðleiðir	nvfo	boðleið
við	ao	við
útköll	nhfo	útkall
og	c	og
á	aþ	á
vettvangi	nkeþ	vettvangur
,	,	,
um	ao	um
faglega	lveosf	faglegur
stjórnun	nveo	stjórnun
á	aþ	á
vettvangi	nkeþ	vettvangur
o.s.frv.	as	o.s.frv.
Um	ao	um
4.	lveovf	4.
gr.	as	gr.
Ákvæði	nhen	ákvæði
1.	ta	1.
mgr.	as	mgr.
kveður	sfg3en	kveða
skýrt	ssg	skýra
á	aa	á
um	ao	um
skyldur	nvfo	skylda
björgunarsveita	nvfe	björgunarsveit
til	ae	til
að	cn	að
bregðast	snm	bregða
við	aþ	við
beiðni	nveþ	beiðni
réttmætra	lhfesf	réttmætur
stjórnvalda	nhfe	stjórnvald
um	ao	um
leit	nveo	leit
,	,	,
björgun	nveo	björgun
eða	c	eða
gæslu	nveo	gæsla
.	.	.
Hér	aa	hér
má	sfg3en	mega
benda	sng	benda
á	ao	á
að	c	að
í	aþ	í
1.	ta	1.
mgr.	as	mgr.
20.	ta	20.
gr.	as	gr.
lögreglulaga	nhfe	lögreglulög
,	,	,
nr.	as	nr.
90/1996	ta	90/1996
,	,	,
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
skyldu	nveo	skylda
fulltíða	lkfeof	fulltíða
manna	nkfe	maður
til	ae	til
að	cn	að
aðstoða	sng	aðstoða
lögreglu	nveo	lögregla
,	,	,
m.a.	as	m.a.
við	ao	við
að	cn	að
afstýra	sng	afstýra
óreglu	nveþ	óregla
og	c	og
óspektum	nvfþ	óspekt
á	aþ	á
almannfæri	nheþ	almannfæri
,	,	,
og	c	og
í	aþ	í
10.	ta	10.
og	c	og
11.	ta	11.
gr.	as	gr.
almannavarnalaga	nhfe	almannavarnalög
,	,	,
nr.	as	nr.
94/1962	ta	94/1962
,	,	,
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
borgaralega	lveosf	borgaralegur
skyldu	nveo	skylda
fulltíða	lkfeof	fulltíða
manna	nkfe	maður
til	ae	til
að	cn	að
sinna	sng	sinna
störfum	nhfþ	starf
í	aþ	í
þágu	nveþ	þága
almannavarna	nvfe	almannavarnir
.	.	.
Við	ao	við
samningu	nveo	samning
ákvæðis	nhee	ákvæði
2.	ta	2.
mgr.	as	mgr.
um	ao	um
þagnarskyldu	nveo	þagnarskylda
var	sfg3eþ	vera
stuðst	sþmhen	styðja
við	ao	við
18.	ta	18.
gr.	as	gr.
laga	nhfe	lag
um	ao	um
réttindi	nhfo	réttindi
og	c	og
skyldur	nvfo	skylda
opinberra	lkfesf	opinber
starfsmanna	nkfe	starfsmaður
,	,	,
nr.	as	nr.
70/1996	ta	70/1996
.	.	.
Um	ao	um
5.	ta	5.
gr.	as	gr.
Gert	sþghen	gera
er	sfg3en	vera
ráð	nhen	ráð
fyrir	aþ	fyrir
því	fpheþ	það
að	c	að
björgunarsveitum	nvfþ	björgunarsveit
eða	c	eða
heildarsamtökum	nhfþ	heildarsamtök
björgunarsveita	nvfe	björgunarsveit
sé	svg3en	vera
skylt	lhensf	skyldur
að	cn	að
slysatryggja	sng	slysatryggja
félagsmenn	nkfo	félagsmaður
sína	fekfo	sinn
gegn	aþ	gegn
öllu	foheþ	allur
því	faheþ	sá
tjóni	nheþ	tjón
sem	ct	sem
þeir	fpkfn	hann
kunna	sfg3fn	kunna
að	cn	að
verða	sng	verða
fyrir	aa	fyrir
eða	c	eða
valda	sng	valda
.	.	.
Með	aþ	með
þessu	faheþ	þessi
ákvæði	nheþ	ákvæði
eru	sfg3fn	vera
björgunarsveitum	nvfþ	björgunarsveit
tryggð	sþghfn	tryggja
mikilsverð	lhfnsf	mikilsverður
réttindi	nhfn	réttindi
.	.	.
Í	aþ	í
ákvæði	nheþ	ákvæði
um	ao	um
slysatryggingar	nvfo	slysatrygging
björgunarsveita	nvfe	björgunarsveit
skal	sfg3en	skulu
tryggt	sþghen	tryggja
að	c	að
komi	svg3en	koma
ákvæði	nhen	ákvæði
sem	ct	sem
tryggi	svg3en	tryggja
bótastöðu	nveo	bótastaða
þeirra	fpvfe	hún
í	aþ	í
tilfellum	nhfþ	tilfelli
sem	ct	sem
leiða	sfg3fn	leiða
til	ae	til
veikinda	nhfe	veikindi
björgunasveitarmanna	nkfe	björgunasveitarmaður
vegna	ae	vegna
utanaðkomandi	lvfeof	utanaðkomandi
aðstæðna	nvfe	aðstæður
,	,	,
svo	aa	svo
sem	c	sem
við	ao	við
ofkælingu	nveo	ofkæling
,	,	,
kal	nheo	kal
,	,	,
ofhitnun	nveo	ofhitnun
og	c	og
eitrun	nveo	eitrun
.	.	.
Í	aþ	í
2.	ta	2.
mgr	as	mgr.
er	sfg3en	vera
gert	sþghen	gera
ráð	nhen	ráð
fyrir	aþ	fyrir
að	c	að
skylt	lhensf	skyldur
sá	x	sjá
að	cn	að
kaupa	sng	kaupa
eignatryggingu	nveo	eignatrygging
fyrir	aþ	fyrir
tjóni	nheþ	tjón
sem	ct	sem
björgunarsveitir	nvfn	björgunarsveit
og	c	og
björgunarsveitarmenn	nkfn	björgunarsveitarmaður
verða	sfg3fn	verða
fyrir	aa	fyrir
á	aþ	á
eignum	nvfþ	eign
sínum	fevfþ	sinn
við	ao	við
æfingar	nvfo	æfing
,	,	,
björgun	nveo	björgun
,	,	,
leit	nveo	leit
og	c	og
gæslu	nveo	gæsla
.	.	.
Með	aþ	með
tjóni	nheþ	tjón
sem	ct	sem
björgunarsveitarmenn	nkfn	björgunarsveitarmaður
kunna	sfg3fn	kunna
að	cn	að
verða	sng	verða
fyrir	aa	fyrir
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
tryggingar	nvfo	trygging
á	aþ	á
persónulegum	lkeþsf	persónulegur
búnaði	nkeþ	búnaður
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
sem	ct	sem
þeir	fpkfn	hann
leggja	sfg3fn	leggja
til	ae	til
starfa	nhfe	starf
sinna	fehfe	sinn
fyrir	ao	fyrir
björgunarsveit	nveo	björgunarsveit
.	.	.
Þó	aa	þó
er	sfg3en	vera
ekki	aa	ekki
átt	sþghen	eiga
við	ao	við
vélknúin	lhfosf	vélknúinn
farartæki	nhfo	farartæki
eins	aa	eins
og	c	og
bíla	nkfo	bíll
og	c	og
vélsleða	nkfo	vélsleði
í	aþ	í
eigu	nveþ	eiga
björgunarsveitamanna	nkfe	björgunarsveitamaður
.	.	.
Um	ao	um
6.	ta	6.
gr.	as	gr.
Greinin	nveng	grein
þarfnast	sfm3en	þarfnast
ekki	aa	ekki
skýringa	nvfe	skýring
.	.	.
Fylgiskjal	nhen	fylgiskjal
I.	ta	I.
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
.	.	.
Þróttmikið	lhensf	þróttmikill
starf	nhen	starf
í	aþ	í
þágu	nveþ	þága
þjóðar	nvee	þjóð
.	.	.
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
eru	sfg3fn	vera
ein	fohfn	einn
stærstu	lhfnve	stór
sjálfboðaliðasamtök	nhfn	sjálfboðaliðasamtök
landsins	nheeg	land
en	c	en
innan	ae	innan
þeirra	fphfe	það
raða	nvfe	röð
starfa	sfg3fn	starfa
ríflega	aa	ríflega
18.000	ta	18.000
félagar	nkfn	félagi
í	aþ	í
björgunarsveitum	nvfþ	björgunarsveit
,	,	,
slysavarna-	nvfþ	slysavarnadeild
og	c	og
unglingadeildum	nvfþ	unglingadeild
.	.	.
Sameiginlegt	lhensf	sameiginlegur
baráttumál	nhen	baráttumál
þeirra	fpkfe	hann
er	sfg3en	vera
að	cn	að
bjarga	sng	bjarga
mannslífum	nhfþ	mannslíf
og	c	og
verðmætum	nhfþ	verðmæti
og	c	og
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
slys	nhfo	slys
.	.	.
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
á	sfg3en	eiga
rætur	nvfo	rót
sínar	fevfo	sinn
að	cn	að
rekja	sng	rekja
allt	foheo	allur
aftur	aa	aftur
til	ae	til
fullveldisársins	nheeg	fullveldisár
,	,	,
1918	ta	1918
,	,	,
þegar	c	þegar
björgunarsveit	nven	björgunarsveit
var	sfg3eþ	vera
stofnuð	sþgven	stofna
í	aþ	í
Vestmannaeyjum	nvfþ-s	Vestmannaeyjar
,	,	,
fjöldi	nken	fjöldi
björgunarsveita	nvfe	björgunarsveit
fylgdi	sfg3eþ	fylgja
í	ao	í
kjölfar	nheo	kjölfar
þess	fphee	það
og	c	og
í	ao	í
dag	nkeo	dagur
mynda	sfg3fn	mynda
þær	fpvfn	hún
þéttriðið	lheosf	þéttriðinn
net	nheo	net
um	ao	um
allt	foheo	allur
land	nheo	land
.	.	.
Hlutverk	nhen	hlutverk
félagsins	nheeg	félag
og	c	og
aðildareininga	nvfe	aðildareining
þess	fphee	það
í	aþ	í
björgunar-	nheþ	björgunarstarf
og	c	og
slysavarnastarfi	nheþ	slysavarnastarf
landsins	nheeg	land
er	sfg3en	vera
mjög	aa	mjög
mikið	lhensf	mikill
og	c	og
nýtur	sfg3en	njóta
félagið	nheng	félag
trausts	nhee	traust
og	c	og
velvild	x	velvild
þjóðarinnar	nveeg	þjóð
og	c	og
ráðamanna	nkfe	ráðamaður
hennar	fpvee	hún
.	.	.
Björgunarsveitir	nvfn	björgunarsveit
.	.	.
Björgunarsveitir	nvfn	björgunarsveit
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
eru	sfg3fn	vera
ríflega	aa	ríflega
eitt	to	eitt
hundrað	tfvfn	hundrað
talsins	nheeg	tal
og	c	og
í	aþ	í
þeirra	fpvfe	hún
röðum	nvfþ	röð
eru	sfg3fn	vera
á	ao	á
fimmta	lheovf	fimmti
þúsund	nheo	þúsund
manns	nkee	maður
sem	ct	sem
eru	sfg3fn	vera
til	ae	til
taks	nhee	tak
að	aþ	að
nóttu	nveþ	nótt
sem	ct	sem
degi	nkeþ	dagur
allan	fokeo	allur
ársins	nheeg	ár
hring	nkeo	hringur
.	.	.
Sú	faven	sá
fagmennska	nven	fagmennska
sem	ct	sem
einkennir	sfg3en	einkenna
starf	nheo	starf
íslenskar	x	íslenskur
björgunarsveita	nvfe	björgunarsveit
á	sfg3en	eiga
sér	fpveþ	sig
fáar	lvfosf	fár
hliðstæður	nvfo	hliðstæða
og	c	og
hefur	sfg3en	hafa
vakið	ssg	vekja
eftirtekt	nveo	eftirtekt
víða	aa	víða
um	ao	um
heim	nkeo	heimur
.	.	.
Við	ao	við
sérhæfingu	nveo	sérhæfing
einstakra	lkfesf	einstakur
björgunarhópa	nkfe	björgunarhópur
á	aþ	á
undanförnum	lhfþsf	undanfarinn
árum	nhfþ	ár
hefur	sfg3en	hafa
orðið	ssg	verða
til	aa	til
mikil	lvensf	mikill
sérþekking	nven	sérþekking
á	aþ	á
hinum	gvfþ	hinn
margvíslegu	lvfþvf	margvíslegur
aðstæðum	nvfþ	aðstæður
sem	ct	sem
upp	aa	upp
kunna	sfg3fn	kunna
að	cn	að
koma	sng	koma
bæði	c	bæði
til	ae	til
sjós	nkee	sjór
og	c	og
lands	nhee	land
.	.	.
Félagsmenn	nkfn	félagsmaður
sækja	sfg3fn	sækja
þá	faveo	sá
sérþekkingu	nveo	sérþekking
víða	aa	víða
að	aa	að
,	,	,
jafnt	aa	jafnt
innan	ae	innan
lands	nhee	land
sem	ct	sem
utan	aa	utan
.	.	.
Björgunarsveitirnar	nvfng	björgunarsveit
hafa	sfg3fn	hafa
yfir	aþ	yfir
að	cn	að
ráða	sng	ráða
gríðaröflugum	lkeþsf	gríðaröflugur
tækjakosti	nkeþ	tækjakostur
og	c	og
má	sfg3en	mega
þar	aa	þar
nefna	sng	nefna
um	aa	um
200	ta	200
breytta	lkfosf	breyttur
björgunarbíla	nkfo	björgunarbíll
,	,	,
100	ta	100
fólksflutningabíla	nkfo	fólksflutningabíll
,	,	,
200	ta	200
vélsleða	nkfo	vélsleði
,	,	,
35	ta	35
snjóbíla	nkfo	snjóbíll
,	,	,
9	ta	9
stór	lhfosf	stór
björgunarskip	nhfo	björgunarskip
,	,	,
25	ta	25
harðbotna	lkfoof	harðbotna
hraðbáta	nkfo	hraðbátur
,	,	,
100	ta	100
slöngubáta	nkfo	slöngubátur
.	.	.
Búnaður	nken	búnaður
björgunarsveitanna	nvfeg	björgunarsveit
er	sfg3en	vera
bæði	c	bæði
sérhæfður	lkensf	sérhæfður
og	c	og
fjölbreyttur	lkensf	fjölbreyttur
,	,	,
þar	aa	þar
má	sfg3en	mega
nefna	sng	nefna
búnað	nkeo	búnaður
til	ae	til
að	cn	að
sinna	sng	sinna
:	:	:
hópslysum	nhfþ	hópslys
,	,	,
rústabjörgun	nveþ	rústabjörgun
,	,	,
snjóflóðaleit	nveþ	snjóflóðaleit
og	c	og
-björgun	nveþ	björgun
,	,	,
fjalla-	nveþ	fjallabjörgun
og	c	og
jöklabjörgun	nveþ	jöklabjörgun
,	,	,
köfun	nveþ	köfun
og	c	og
víðavangsleit	nveþ	víðavangsleit
.	.	.
Ísland	nhen-s	Ísland
er	sfg3en	vera
harðbýlt	lhensf	harðbýll
land	nhen	land
sem	ct	sem
sést	sfm3en	sjá
glöggt	aa	glöggt
á	aþ	á
þeim	fahfþ	sá
náttúruöflum	nhfþ	náttúruafl
sem	ct	sem
móta	sng	móta
landið	nheog	land
,	,	,
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
býr	sfg3en	búa
þar	aa	þar
fámenn	lvensf	fámennur
en	c	en
dugmikil	lvensf	dugmikill
þjóð	nven	þjóð
.	.	.
Þar	aa	þar
af	aa	af
leiðandi	slg	leiða
er	sfg3en	vera
það	fahen	sá
hlutfallslega	lhenvf	hlutfallslegur
afl	nhen	afl
sem	ct	sem
björgunarsveitir	nvfn	björgunarsveit
félagsins	nheeg	félag
leggja	sfg3fn	leggja
til	ae	til
samfélagsins	nheeg	samfélag
við	ao	við
stóráföll	nhfo	stóráfall
mjög	aa	mjög
mikið	lhensf	mikill
.	.	.
Þannig	aa	þannig
koma	sfg3fn	koma
að	aþ	að
jafnaði	nkeþ	jafnaður
um	aa	um
75%	tp	75%
þeirra	fakfe	sá
viðbragðsaðila	nkfe	viðbragðsaðili
sem	ct	sem
sinna	sfg3fn	sinna
björgunar-	nhfþ	björgunarstarf
og	c	og
öryggisstörfum	nhfþ	öryggisstarf
á	aþ	á
vettvangi	nkeþ	vettvangur
stóráfalla	nhfe	stóráfall
úr	aþ	úr
röðum	nvfþ	röð
björgunarsveita	nvfe	björgunarsveit
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
.	.	.
(	(	(
Aftast	aae	aftur
í	aþ	í
þessu	faheþ	þessi
skjali	nheþ	skjal
er	sfg3en	vera
að	cn	að
finna	sng	finna
lista	nkeo	listi
yfir	ao	yfir
heiti	nhfo	heiti
og	c	og
staðsetningu	nveo	staðsetning
björgunarsveita	nvfe	björgunarsveit
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
.	.	.
)	)	)
Slysavarnadeildir	nvfn	slysavarnadeild
.	.	.
Innan	ae	innan
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
eru	sfg3fn	vera
starfandi	slg	starfa
um	aa	um
80	ta	80
slysavarnadeildir	nvfn	slysavarnadeild
sem	ct	sem
hafa	sfg3fn	hafa
það	faheo	sá
að	aþ	að
meginmarkmiði	nheþ	meginmarkmið
að	cn	að
koma	sng	koma
í	ao	í
veg	nkeo	vegur
fyrir	ao	fyrir
slys	nhfo	slys
og	c	og
óhöpp	nhfo	óhapp
.	.	.
Öflugt	lhensf	öflugur
fræðslu-	nhen	fræðslustarf
og	c	og
útgáfustarf	nhen	útgáfustarf
einkennir	sfg3en	einkenna
starf	nheo	starf
þeirra	fpvfe	hún
ásamt	aþ	ásamt
átaksverkefnum	nhfþ	átaksverkefni
af	aþ	af
ýmsum	fokeþ	ýmis
toga	nkeþ	togi
,	,	,
svæðisbundnum	lhfþsf	svæðisbundinn
eða	c	eða
