lifandi	lheþof	lifandi
Hvanneyri	nveþ-s	Hvanneyri
.	.	.
Skráning	nven	skráning
og	c	og
greiðsla	nven	greiðsla
í	aþ	í
síðasta	lheþve	síðari
lagi	nheþ	lag
miðvikudaginn	nkeog	miðvikudagur
11.	ta	11.
sept.	as	sept.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
5685052	ta	5685052
.	.	.
Aflagranda	nkeþ-s	Aflagrandi
40	ta	40
.	.	.
Vetrarstarfið	nheng	vetrarstarf
hafið	lhensf	hafinn
:	:	:
Mánud.	as	Mánud.
vinnustofa	nven	vinnustofa
og	c	og
leikfimi	nven	leikfimi
kl.	as	kl.
9	ta	9
,	,	,
félagsvist	nven	félagsvist
kl.	as	kl.
14	ta	14
.	.	.
Þriðjud.	as	Þriðjud.
vinnustofa	nven	vinnustofa
,	,	,
jóga	nhen	jóga
og	c	og
leirkerasmíði	nven	leirkerasmíði
kl.	as	kl.
9	ta	9
,	,	,
postulínsmálning	nven	postulínsmálning
kl.	as	kl.
13	ta	13
,	,	,
samsöngur	nken	samsöngur
undir	aþ	undir
stjórn	nveþ	stjórn
Kára	nkee-s	Kári
Friðrikssonar	nkee-s	Friðriksson
kl.	as	kl.
14	ta	14
.	.	.
Miðvikud.	as	Miðvikud.
:	:	:
vinnustofa	nven	vinnustofa
og	c	og
postulínsmálning	nven	postulínsmálning
kl.	as	kl.
9	ta	9
og	c	og
kl.	as	kl.
13	ta	13
.	.	.
Fimmtud.	as	Fimmtud.
:	:	:
vinnustofa	nven	vinnustofa
og	c	og
jóga	nhen	jóga
kl.	as	kl.
9	ta	9
,	,	,
myndmennt	nven	myndmennt
kl.	as	kl.
13	ta	13
.	.	.
Föstud.	as	Föstud.
:	:	:
vinnustofa	nven	vinnustofa
og	c	og
leikfimi	nven	leikfimi
kl.	as	kl.
9	ta	9
.	.	.
Bingó	nhen	bingó
kl.	as	kl.
14	ta	14
.	.	.
Baðþjónusta	nven	baðþjónusta
þriðju-	nkfo	þriðjudagur
,	,	,
miðviku-	nkfo	miðvikudagur
og	c	og
föstudaga	nkfo	föstudagur
,	,	,
skráning	nven	skráning
.	.	.
Hjúkrunarfræðingur	nken	hjúkrunarfræðingur
til	ae	til
viðtals	nhee	viðtal
fimmtudaga	nkfo	fimmtudagur
kl.	as	kl.
11	ta	11
.	.	.
Félagsstarfið	nheng	félagsstarf
,	,	,
Hæðargarði	nkeþ-s	Hæðargarður
31	ta	31
.	.	.
Landsbankinn	nkengs	Landsbanki
aðra	foveo	annar
hverja	foveo	hver
viku	nveo	vika
.	.	.
Sviðaveisla	nven	sviðaveisla
verður	sfg3en	verða
20.	ta	20.
sept.	as	sept.
kl.	as	kl.
12	ta	12
.	.	.
Kynning	nven	kynning
á	aþ	á
vetrarstarfi	nheþ	vetrarstarf
í	aþ	í
Félagsmiðstöðinni	nveþgs	Félagsmiðstöð
verður	sfg3en	verða
fimmtudaginn	nkeog	fimmtudagur
12.	ta	12.
sept.	as	sept.
kl.	as	kl.
13.30	ta	13.30
,	,	,
súkkulaði	nhen	súkkulaði
og	c	og
rjómaterta	nven	rjómaterta
í	aþ	í
kaffinu	nheþg	kaffi
.	.	.
Akstursþjónusta	nven	akstursþjónusta
í	ao	í
félagsmiðstöðina	nveog	félagsmiðstöð
,	,	,
sími	nken	sími
5683132	ta	5683132
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
,	,	,
Hafnarfirði	nkeþ-s	Hafnarfjörður
,	,	,
Hraunseli	nheþ-s	Hraunsel
,	,	,
Flatahrauni	nheþ-s	Flatahraun
3	ta	3
.	.	.
Morgungangan	nveng	morgunganga
kl.	as	kl.
10	ta	10
frá	aþ	frá
Hraunseli	nheþ-s	Hraunsel
.	.	.
Rúta	nven	rúta
frá	aþ	frá
Firðinum	nkeþgs	Fjörður
kl.	as	kl.
9.50	ta	9.50
.	.	.
Orlofsferð	nven	orlofsferð
að	aþ	að
Höfðabrekku	nveþ-s	Höfðabrekka
10.-13.	ta	10.-13.
sept.	as	sept.
Rúta	nven	rúta
frá	aþ	frá
Hraunseli	nheþ-s	Hraunsel
á	ao	á
þriðjudag	nkeo	þriðjudagur
kl.	as	kl.
10	ta	10
.	.	.
Glerskurður	nken	glerskurður
,	,	,
skráning	nven	skráning
hafin	lvensf	hafinn
í	aþ	í
Hraunseli	nheþ-s	Hraunsel
.	.	.
Leikfimi	nven	leikfimi
eldri	lkfevm	gamall
borgara	nkfe	borgari
er	sfg3en	vera
hafin	lvensf	hafinn
í	aþ	í
íþróttamiðstöðini	x	íþróttamiðstöð
Björk	nveþ-s	Björk
(	(	(
gamla	lhenvf	gamall
Haukahúsið	nhengs	Haukahúsið
)	)	)
á	aþ	á
þriðju-	nkfþ	þriðjudagur
,	,	,
fimmtu-	nkfþ	fimmtudagur
og	c	og
föstudögum	nkfþ	föstudagur
kl.	as	kl.
11.30	ta	11.30
,	,	,
skráning	nven	skráning
og	c	og
greiðslur	nvfn	greiðsla
í	aþ	í
Hraunseli	nheþ-s	Hraunsel
,	,	,
sími	nken	sími
5550142	ta	5550142
.	.	.
Myndlistarfólk	nhen	myndlistarfólk
,	,	,
fundur	nken	fundur
miðvikudaginn	nkeog	miðvikudagur
11.	ta	11.
sept.	as	sept.
kl.	as	kl.
13.30	ta	13.30
,	,	,
rætt	sþghen	ræða
um	ao	um
skipulag	nheo	skipulag
og	c	og
tíma	nkfo	tími
námskeiða	nhfe	námskeið
í	ao	í
vetur	nkeo	vetur
.	.	.
Félagsstarf	nhen	félagsstarf
aldraðra	lkfesf	aldraður
.	.	.
Leikfimi	nven	leikfimi
karla	nkfe	karl
verður	sfg3en	verða
á	aþ	á
þriðju-	nkfþ	þriðjudagur
og	c	og
fimmtudögum	nkfþ	fimmtudagur
,	,	,
leikfimi	nven	leikfimi
kvenna	nvfe	kona
á	aþ	á
mánu-	nkfþ	mánudagur
og	c	og
miðvikudögum	nkfþ	miðvikudagur
.	.	.
Skráning	nven	skráning
í	ao	í
hópastarfið	nheog	hópastarf
er	sfg3en	vera
9.-10.	ta	9.-10.
og	c	og
11.	ta	11.
sept.	as	sept.
kl.	as	kl.
14-15	ta	14-15
í	aþ	í
Félagsmiðstöðinni	nveþgs	Félagsmiðstöð
í	aþ	í
Kirkjuhvoli	nkeþ-s	Kirkjuhvoll
.	.	.
Kynning	nven	kynning
á	aþ	á
félagsstarfinu	nheþg	félagsstarf
á	aþ	á
haustönn	nveþ	haustönn
verður	sfg3en	verða
í	aþ	í
Kirkjuhvoli	nkeþ-s	Kirkjuhvoll
12.	ta	12.
sept.	as	sept.
kl.	as	kl.
14	ta	14
.	.	.
Fótaaðgerðarstofan	nveng	fótaaðgerðarstofa
í	aþ	í
síma	nkeþ	sími
8994223	ta	8994223
.	.	.
Garðakórinn	nkengs	Garðakór
-	-	-
æfingar	nvfn	æfing
á	aþ	á
mánud.	as	mánud.
kl.	as	kl.
17-19	ta	17-19
í	aþ	í
Kirkjuhvoli	nkeþ-s	Kirkjuhvoll
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Ferð	nven	ferð
eldri	lkfevm	gamall
borgara	nkfe	borgari
á	ao	á
Akranes	nheo-s	Akranes
14.	ta	14.
sept.	as	sept.
Skráning	nven	skráning
hjá	aþ	hjá
Arndísi	nveþ-s	Arndís
í	aþ	í
síma	nkeþ	sími
5657826	ta	5657826
og	c	og
8957826	ta	8957826
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
,	,	,
Reykjavík	nveþ-s	Reykjavík
,	,	,
Ásgarði	nkeþ-s	Ásgarður
í	aþ	í
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Kaffistofan	nveng	kaffistofa
opin	lvensf	opinn
virka	lkfosf	virkur
daga	nkfo	dagur
frá	aþ	frá
kl.	as	kl.
10-13	ta	10-13
.	.	.
Kaffi	nhen	kaffi
,	,	,
blöðin	nhfng	blað
og	c	og
matur	nken	matur
í	aþ	í
hádegi	nheþ	hádegi
.	.	.
Félagið	nheng	félag
hefur	sfg3en	hafa
opnað	ssg	opna
heimasíðu	nveo	heimasíða
,	,	,
www.feb.is	v	www.feb.is
.	.	.
Opið	lhensf	opinn
húsið	nheng	hús
hjá	aþ	hjá
Félagi	nheþ-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
í	ao	í
dag	nkeo	dagur
,	,	,
laugardag	nkeo	laugardagur
,	,	,
kl.	as	kl.
14-16	ta	14-16
í	aþ	í
Ásgarði	nkeþ-s	Ásgarður
,	,	,
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Kynning	nven	kynning
á	aþ	á
starfi	nheþ	starf
og	c	og
markmiði	nheþ	markmið
félagsins	nheeg	félag
.	.	.
Fjöldasöngur	nken	fjöldasöngur
,	,	,
leikþáttur	nken	leikþáttur
og	c	og
danssýning	nven	danssýning
.	.	.
Kaffi	nhen	kaffi
og	c	og
meðlæti	nhen	meðlæti
.	.	.
Félagar	nkfn	félagi
eru	sfg3fn	vera
hvattir	sþgkfn	hvetja
til	ae	til
að	cn	að
mæta	sng	mæta
og	c	og
taka	sng	taka
nýja	lkfosf	nýr
félaga	nkfo	félagi
með	aa	með
.	.	.
Sunnudagur	nken	sunnudagur
:	:	:
Dansleikur	nken	dansleikur
kl.	as	kl.
20	ta	20
.	.	.
Mánudagur	nken	mánudagur
:	:	:
Brids	nhen	brids
kl.	as	kl.
13	ta	13
.	.	.
Danskennsla	nven	danskennsla
,	,	,
framh.	as	framh.
kl.	as	kl.
19	ta	19
og	c	og
byrjendur	nkfn	byrjandi
kl.	as	kl.
20.30	ta	20.30
.	.	.
Þorvaldur	nken-s	Þorvaldur
Lúðvíksson	nken-s	Lúðvíksson
lögfræðingur	nken	lögfræðingur
er	sfg3en	vera
með	ao	með
viðtöl	nhfo	viðtal
fyrir	ao	fyrir
félagsmenn	nkfo	félagsmaður
á	aþ	á
þriðjudögum	nkfþ	þriðjudagur
frá	aþ	frá
kl.	as	kl.
10-12	ta	10-12
,	,	,
panta	sng	panta
þarf	sfg3en	þurfa
tíma	nkeo	tími
á	aþ	á
skrifstofu	nveþ	skrifstofa
FEB.	as	FEB.
Þriðjudagur	nken	þriðjudagur
:	:	:
Skák	nven	skák
kl.	as	kl.
13	ta	13
.	.	.
Miðvikudagur	nken	miðvikudagur
.	.	.
Gönguhrólfar	nkfn-s	Gönguhrólfur
ganga	sfg3fn	ganga
frá	aþ	frá
Ásgarði	nkeþ-s	Ásgarður
í	aþ	í
Glæsibæ	nkeþ-s	Glæsibær
kl.	as	kl.
10	ta	10
.	.	.
Réttarferð	nven	réttarferð
í	ao	í
Þverárrétt	nveo-s	Þverárrétt
15.	ta	15.
september	nkeo	september
.	.	.
Leiðsögumaður	nken	leiðsögumaður
Sigurður	nken-s	Sigurður
Kristinsson	nken-s	Kristinsson
.	.	.
Einnig	aa	einnig
verður	sfg3en	verða
komið	sþghen	koma
í	ao	í
Reykholt	nheo-s	Reykholt
og	c	og
að	aþ	að
Deildartunguhver	nkeþ-s	Deildartunguhver
.	.	.
Brottför	nven	brottför
frá	aþ	frá
Ásgarði	nkeþ-s	Ásgarður
,	,	,
Glæsibæ	nkeþ-s	Glæsibær
,	,	,
kl.	as	kl.
12	ta	12
.	.	.
Skráning	nven	skráning
hafin	lvensf	hafinn
.	.	.
Silfurlínan	nveng	silfurlína
er	sfg3en	vera
opin	lvensf	opinn
á	aþ	á
mánu-	nkfþ	mánudagur
og	c	og
miðvikudögum	nkfþ	miðvikudagur
kl.	as	kl.
10-12	ta	10-12
.	.	.
Skrifstofa	nven	skrifstofa
félagsins	nheeg	félag
er	sfg3en	vera
flutt	sþgven	flytja
í	ao	í
Faxafen	nheo-s	Faxafen
12	ta	12
,	,	,
s.	as	s.
5882111	ta	5882111
.	.	.
Félagsstarfið	nheng	félagsstarf
er	sfg3en	vera
áfram	aa	áfram
í	aþ	í
Ásgarði	nkeþ-s	Ásgarður
,	,	,
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Upplýsingar	nvfn	upplýsing
á	aþ	á
skrifstofu	nveþ	skrifstofa
FEB.	as	FEB.
Gerðuberg	nhen-s	Gerðuberg
,	,	,
félagsstarf	nhen	félagsstarf
.	.	.
Myndlistarsýning	nven	myndlistarsýning
Huga	nkee-s	Hugi
Jóhannessonar	nkee-s	Jóhannesson
opin	lvensf	opinn
í	ao	í
dag	nkeo	dagur
og	c	og
á	ao	á
morgun	nkeo	morgunn
frá	aþ	frá
kl.	as	kl.
13-16.30	ta	13-16.30
,	,	,
listamaðurinn	nkeng	listamaður
á	aþ	á
staðnum	nkeþg	staður
.	.	.
Á	ao	á
miðvikudag	nkeo	miðvikudagur
kl.	as	kl.
13.30	ta	13.30
og	c	og
föstudag	nkeo	föstudagur
kl.	as	kl.
14	ta	14
kóræfingar	nvfn	kóræfing
hjá	aþ	hjá
Gerðubergskór	nkeþ-s	Gerðubergskór
,	,	,
undir	aþ	undir
stjórn	nveþ	stjórn
Kárar	nkee-s	Kári
Friðrikssonar	nkee-s	Friðriksson
,	,	,
fjölbreytt	lvensf	fjölbreyttur
dagskrá	nven	dagskrá
,	,	,
nýir	lkfnsf	nýr
félagar	nkfn	félagi
velkomnir	lkfnsf	velkominn
.	.	.
Glerskurður	nken	glerskurður
hefst	sfm3en	hefja
þriðjudaginn	nkeog	þriðjudagur
10.	ta	10.
september	nkeo	september
,	,	,
umsjón	nven	umsjón
Helga	nven-s	Helga
Vilmundardóttir	nven-s	Vilmundardóttir
.	.	.
Sund-	nvfn	sundæfing
og	c	og
leikfimiæfingar	nvfn	leikfimiæfing
í	aþ	í
Breiðholtslaug	nveþ-s	Breiðholtslaug
,	,	,
mánu-	nkfo	mánudagur
og	c	og
föstudaga	nkfo	föstudagur
kl.	as	kl.
9.30	ta	9.30
.	.	.
Allar	fovfn	allur
upplýsingar	nvfn	upplýsing
um	ao	um
starfsemina	nveog	starfsemi
á	aþ	á
staðnum	nkeþg	staður
og	c	og
í	aþ	í
síma	nkeþ	sími
5757720	ta	5757720
.	.	.
Gullsmári	nken	gullsmári
,	,	,
Gullsmára	nkeþ-s	Gullsmári
13	ta	13
.	.	.
Opið	lhensf	opinn
alla	fokfo	allur
virka	lkfosf	virkur
daga	nkfo	dagur
kl.	as	kl.
9-17	ta	9-17
,	,	,
hádegismatur	nken	hádegismatur
,	,	,
kaffi	nhen	kaffi
og	c	og
heimabakað	lhensf	heimabakaður
meðlæti	nhen	meðlæti
.	.	.
Hvassaleiti	nhen-s	Hvassaleiti
.	.	.
Árleg	lvensf	árlegur
handverkssýning	nven	handverkssýning
á	aþ	á
munum	nkfþ	munur
sem	ct	sem
unnir	sþgkfn	vinna
hafa	sfg3fn	hafa
verið	ssg	vera
af	aþ	af
þátttakendum	nkfþ	þátttakandi
hjá	aþ	hjá
Félagsþjónustunni	nveþgs	félagsþjónusta
í	aþ	í
Hvassaleiti	nheþ-s	Hvassaleiti
verður	sfg3en	verða
haldin	sþgven	halda
laugardaginn	nkeog	laugardagur
8.	ta	8.
og	c	og
sunnudaginn	nkeog	sunnudagur
9.	ta	9.
september	nkeo	september
kl.	as	kl.
14-17	ta	14-17
.	.	.
Kynning	nven	kynning
á	aþ	á
félagsstarfinu	nheþg	félagsstarf
fyrir	ao	fyrir
næsta	lkeove	næstur
vetur	nkeo	vetur
fer	sfg3en	fara
fram	aa	fram
á	aþ	á
sama	fbkeþ	sami
tíma	nkeþ	tími
.	.	.
Kaffiveitingar	nvfn	kaffiveitingar
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
,	,	,
Kópavogi	nkeþ-s	Kópavogur
.	.	.
Púttað	sþghen	pútta
verður	sfg3en	verða
á	aþ	á
Listatúni	nheþ-s	Listatún
í	ao	í
dag	nkeo	dagur
,	,	,
laugardag	nkeo	laugardagur
,	,	,
kl.	as	kl.
10.30	ta	10.30
.	.	.
Mánud.	as	Mánud.
16.	ta	16.
sept.	as	sept.
verður	sfg3en	verða
ferð	nven	ferð
í	ao	í
Þverárrétt	nveo-s	Þverárrétt
í	aþ	í
Borgarfirði	nkeþ-s	Borgarfjörður
.	.	.
Lagt	sþghen	leggja
af	aþ	af
stað	nkeþ	staður
frá	aþ	frá
Gjábakka	nkeþ-s	Gjábakki
kl.	as	kl.
8	ta	8
og	c	og
frá	aþ	frá
Gullsmára	nkeþ-s	Gullsmári
kl.	as	kl.
8.15	ta	8.15
.	.	.
Leiðsögumaður	nken	leiðsögumaður
Nanna	nven-s	Nanna
Kaaber	nven-s	Kaaber
.	.	.
Leiðin	nveng	leið
sem	ct	sem
ekin	sþgven	aka
verður	sfg3en	verða
er	sfg3en	vera
eftirfarandi	lvenof	eftirfarandi
:	:	:
Kópavogur	nken-s	Kópavogur
-	-	-
Hvalfjarðargöng	nhfn-s	Hvalfjarðargöng
-	-	-
Borgarnes	nhen-s	Borgarnes
-	-	-
Baulan	nvengs	Baula
-	-	-
þjóðvegur	nken	þjóðvegur
50	ta	50
að	aþ	að
vegamótum	nhfþ	vegamót
þjóðvegar	nkee	þjóðvegur
522	ta	522
en	c	en
eftir	aþ	eftir
honum	fpkeþ	hann
ekið	sþghen	aka
framhjá	aþ	framhjá
Arnbjargarlæk	nkeþ-s	Arnbjargarlækur
og	c	og
Höfða	nkeþ-s	Höfði
-	-	-
að	aþ	að
Þverárrétt	nveþ-s	Þverárrétt
í	aþ	í
Þverárdal	nkeþ-s	Þverárdalur
.	.	.
Áætluð	lvensf	áætlaður
koma	nven	koma
um	aa	um
kl.	as	kl.
10	ta	10
.	.	.
Þar	aa	þar
verður	sfg3en	verða
dvalist	sþmhen	dvelja
í	ao	í
2-3	ta	2-3
tíma	nkfo	tími
,	,	,
á	aþ	á
leiðinni	nveþg	leið
til	aa	til
baka	aa	baka
verður	sfg3en	verða
farið	sþghen	fara
framhjá	aþ	framhjá
Norðtungu	nveþ-s	Norðtunga
að	aþ	að
Deildartungu	nveþ-s	Deildartunga
og	c	og
Deildartunguhver	nken-s	Deildartunguhver
skoðaður	sþgken	skoða
.	.	.
Þaðan	aa	þaðan
ekið	sþghen	aka
framhjá	aþ	framhjá
Kleppjárnsreykjum	nkfþ-s	Kleppjárnsreykir
og	c	og
niður	ao	niður
Andakíl	nkeo-s	Andakíll
að	aþ	að
Borgarfjarðarbrú	nveþ-s	Borgarfjarðarbrú
Hafnarfjallsmegin	aa	Hafnarfjallsmegin
en	c	en
þar	aa	þar
verður	sfg3en	verða
snædd	sþgven	snæða
kjötsúpa	nven	kjötsúpa
.	.	.
Eftir	ao	eftir
matinn	nkeog	matur
verður	sfg3en	verða
ekið	sþghen	aka
niður	aa	niður
til	ae	til
Akraness	nhee-s	Akranes
og	c	og
byggðarsvæði	nhen	byggðarsvæði
bæjarins	nkeeg	bær
heimsótt	sþghen	heimsækja
-	-	-
en	c	en
meðal	ae	meðal
þess	fphee	það
,	,	,
sem	ct	sem
þar	aa	þar
er	sfg3en	vera
sýnt	sþghen	sýna
eru	sfg3fn	vera
steinasafn	nhen	steinasafn
,	,	,
íþróttasafn	nhen	íþróttasafn
,	,	,
byggðasafn	nhen	byggðasafn
og	c	og
forsýning	nven	forsýning
á	aþ	á
safni	nheþ	safn
Landmælinga	nvfe-s	Landmæling
Íslands	nhee-s	Ísland
.	.	.
Áætluð	lvensf	áætlaður
heimkoma	nven	heimkoma
er	sfg3en	vera
kl.	as	kl.
18	ta	18
.	.	.
Þátttökulistar	nkfn	þátttökulisti
og	c	og
upplýsingar	nvfn	upplýsing
liggja	sfg3fn	liggja
frammi	aa	frammi
í	aþ	í
félagsmiðstöðvunum	nvfþg	félagsmiðstöð
Gjábakka	nkeþ-s	Gjábakki
(	(	(
s.	as	s.
5543400	ta	5543400
)	)	)
og	c	og
Gullsmára	nkeþ-s	Gullsmári
(	(	(
s.	as	s.
5645260	ta	5645260
)	)	)
.	.	.
Ferðanefndin	nveng	ferðanefnd
:	:	:
Bogi	nken-s	Bogi
Þórir	nken-s	Þórir
(	(	(
s.	as	s.
5540233	ta	5540233
)	)	)
og	c	og
Þráinn	nken-s	Þráinn
(	(	(
s.	as	s.
5540999	ta	5540999
)	)	)
.	.	.
Vesturgata	nven-s	Vesturgata
7	ta	7
.	.	.
Miðvikudaginn	nkeog	miðvikudagur
18.	ta	18.
september	nkeo	september
kl.	as	kl.
13-16	ta	13-16
byrjar	sfg3en	byrja
fyrsti	lkenve	fyrstur
tréskurðartími	nken	tréskurðartími
vetrarins	nkeeg	vetur
,	,	,
skráning	nven	skráning
hafin	lvensf	hafinn
.	.	.
Handverkssýning	nven	handverkssýning
og	c	og
skoðunarferð	nven	skoðunarferð
um	ao	um
Grafarvog	nkeo-s	Grafarvogur
.	.	.
Mánudaginn	nkeog	mánudagur
9.	ta	9.
september	nkeo	september
kl.	as	kl.
13	ta	13
verður	sfg3en	verða
farið	sþghen	fara
á	ao	á
handverkssýningu	nveo	handverkssýning
í	ao	í
félags-	nveog	félagsmiðstöð
og	c	og
þjónustumiðstöðina	nveog	þjónustumiðstöð
í	aþ	í
Hvassaleiti	nheþ-s	Hvassaleiti
.	.	.
Kaffiveitingar	nvfn	kaffiveitingar
að	aþ	að
lokinni	lveþsf	lokinn
sýningu	nveþ	sýning
.	.	.
Síðan	aa	síðan
verður	sfg3en	verða
farið	sþghen	fara
í	ao	í
skoðunarferð	nveo	skoðunarferð
um	ao	um
Grafarvog	nkeo-s	Grafarvogur
undir	aþ	undir
leiðsögn	nveþ	leiðsögn
Önnu	nvee-s	Anna
Lísu	nvee-s	Lísa
Guðmundsdóttir	nvee-s	Guðmundsdóttir
frá	aþ	frá
Árbæjarsafni	nheþ-s	Árbæjarsafn
.	.	.
M.a.	as	M.a.
farið	sþghen	fara
í	ao	í
Grafarvogskirkju	nveo-s	Grafarvogskirkja
,	,	,
Bryggjuhverfi	nheo-s	bryggjuhverfi
og	c	og
fleira	lheovm	margur
.	.	.
Vitatorg	nhen-s	Vitatorg
.	.	.
Vetrardagskráin	nveng	vetrardagskrá
komin	sþgven	koma
.	.	.
Laus	lhfnsf	laus
pláss	nhfn	pláss
í	aþ	í
eftirtöldum	lhfþsf	eftirtalinn
námskeiðum	nhfþ	námskeið
:	:	:
bókband	nhen	bókband
,	,	,
myndlist	nven	myndlist
,	,	,
leirmótun	nven	leirmótun
,	,	,
körfugerð	nven	körfugerð
,	,	,
mósaík	nven	mósaík
og	c	og
smiðja	nven	smiðja
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
5610300	ta	5610300
.	.	.
Allir	fokfn	allur
aldurshópar	nkfn	aldurshópur
velkomnir	lkfnsf	velkominn
.	.	.
Gönguklúbbur	nken	gönguklúbbur
Hana-nú	nxee-s	hananú
.	.	.
Morgunganga	nven	morgunganga
kl.	as	kl.
10	ta	10
laugardagsmorgna	nkfo	laugardagsmorgunn
frá	aþ	frá
Gjábakka	nkeþ-s	Gjábakki
.	.	.
Krummakaffi	nhen	krummakaffi
kl.	as	kl.
9	ta	9
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Félag	nhen-s	Félag
fráskilinna	lkfesf	fráskilinn
og	c	og
einstæðra	lkfesf	einstæður
.	.	.
Fundur	nken	fundur
í	ao	í
kvöld	nheo	kvöld
kl.	as	kl.
21	ta	21
í	aþ	í
Konnakoti	nheþ-s	Konnakot
,	,	,
Hverfisgötu	nveþ-s	Hverfisgata
105	ta	105
.	.	.
Nýir	lkfnsf	nýr
félagar	nkfn	félagi
velkomnir	lkfnsf	velkominn
.	.	.
Munið	sbg2fn	muna
gönguna	nveog	ganga
mánu-	nkfo	mánudagur
og	c	og
fimmtudaga	nkfo	fimmtudagur
.	.	.
Ferðaklúbburinn	nkeng	ferðaklúbbur
Flækjufótur	nken-s	flækjufótur
.	.	.
Helgarferð	nven	helgarferð
til	ae	til
Grundarfjarðar	nkee-s	Grundarfjörður
verður	sfg3en	verða
farin	sþgven	fara
5.	ta	5.
til	ae	til
6.	ta	6.
okt.	as	okt.
kl.	as	kl.
14	ta	14
.	.	.
Keyrt	sþghen	keyra
til	ae	til
Grundarfjarðar	nkee-s	Grundarfjörður
og	c	og
gist	sþghen	gista
,	,	,
þar	aa	þar
verður	sfg3en	verða
skemmtun	nven	skemmtun
